,f_1,f_2,f_3,f_4
3171,441.0,10.0,1506.95,0.5997497254181746
3172,402.0,4.0,835.45,0.6377410468319559
3173,402.0,4.0,835.45,0.6377410468319559
3174,402.0,4.0,835.45,0.6377410468319559
3175,402.0,4.0,835.45,0.6377410468319559
3176,441.0,10.0,1506.95,0.5997497254181746
3177,402.0,4.0,835.45,0.6377410468319559
3178,393.0,4.0,838.15,0.6377410468319559
3179,402.0,4.0,835.45,0.6377410468319559
3180,402.0,2.0,746.0,0.521336358234754
3181,441.0,10.0,1506.95,0.5997497254181746
3182,402.0,2.0,746.0,0.521336358234754
3183,436.0,5.0,1094.6,0.6377410468319559
3184,402.0,4.0,835.45,0.6377410468319559
3185,400.0,0.0,671.75,0.4192279299231171
3186,441.0,10.0,1506.95,0.5997497254181746
3187,400.0,0.0,671.75,0.4192279299231171
3188,436.0,5.0,1094.6,0.6377410468319559
3189,402.0,4.0,835.45,0.6377410468319559
3190,402.0,4.0,835.45,0.6377410468319559
3191,441.0,10.0,1506.95,0.5997497254181746
3192,402.0,4.0,835.45,0.6377410468319559
3193,402.0,4.0,835.45,0.6377410468319559
3194,402.0,4.0,835.45,0.6377410468319559
3195,402.0,4.0,835.45,0.6377410468319559
3196,441.0,10.0,1506.95,0.5997497254181746
3197,402.0,4.0,835.45,0.6377410468319559
3198,402.0,4.0,835.45,0.6377410468319559
3199,402.0,4.0,835.45,0.6377410468319559
3200,402.0,4.0,835.45,0.6377410468319559
3201,441.0,10.0,1506.95,0.5997497254181746
3202,402.0,4.0,835.45,0.6377410468319559
3203,402.0,4.0,835.45,0.6377410468319559
3204,402.0,4.0,835.45,0.6377410468319559
3205,402.0,4.0,835.45,0.6377410468319559
3206,441.0,10.0,1506.95,0.5997497254181746
3207,402.0,4.0,835.45,0.6377410468319559
3208,403.0,4.0,839.35,0.6377410468319559
3209,402.0,4.0,835.45,0.6377410468319559
3210,431.0,3.0,921.65,0.6186193485658726
3211,441.0,10.0,1506.95,0.5997497254181746
3212,431.0,3.0,921.65,0.6186193485658726
3213,437.0,6.0,1175.9,0.6377410468319559
3214,402.0,4.0,835.45,0.6377410468319559
3215,431.0,3.0,921.65,0.6186193485658726
3216,441.0,10.0,1506.95,0.5997497254181746
3217,431.0,3.0,921.65,0.6186193485658726
3218,437.0,6.0,1175.9,0.6377410468319559
3219,402.0,4.0,835.45,0.6377410468319559
3220,188.0,3.0,501.85,0.6186193485658726
3221,424.0,2.0,839.65,0.5720664758097913
3222,118.0,4.0,499.05,0.6377410468319559
3223,401.0,3.0,754.15,0.6186193485658726
3224,402.0,4.0,835.45,0.6377410468319559
3225,110.0,2.0,335.75,0.5720664758097913
3226,369.0,1.0,512.4,0.4395559876843299
3227,110.0,2.0,335.75,0.5720664758097913
3228,394.0,2.0,672.15,0.5720664758097913
3229,402.0,4.0,835.45,0.6377410468319559
3230,156.0,1.0,260.1,0.4395559876843299
3231,355.0,0.0,420.5,0.34227299735321126
3232,156.0,1.0,260.1,0.4395559876843299
3233,171.0,1.0,343.85,0.5165109202542357
3234,402.0,4.0,835.45,0.6377410468319559
3235,142.0,0.0,168.2,0.34227299735321126
3236,284.0,0.0,336.4,0.34227299735321126
3237,142.0,0.0,168.2,0.34227299735321126
3238,157.0,0.0,251.95,0.4192279299231171
3239,402.0,4.0,835.45,0.6377410468319559
3240,142.0,0.0,168.2,0.34227299735321126
3241,284.0,0.0,336.4,0.34227299735321126
3242,142.0,0.0,168.2,0.34227299735321126
3243,157.0,0.0,251.95,0.4192279299231171
3244,402.0,4.0,835.45,0.6377410468319559
3245,142.0,0.0,168.2,0.34227299735321126
3246,284.0,0.0,336.4,0.34227299735321126
3247,142.0,0.0,168.2,0.34227299735321126
3248,157.0,0.0,251.95,0.4192279299231171
3249,402.0,4.0,835.45,0.6377410468319559
3250,401.0,3.0,754.15,0.6186193485658726
3251,436.0,5.0,1094.6,0.6377410468319559
3252,402.0,4.0,835.45,0.6377410468319559
3253,401.0,3.0,754.15,0.6186193485658726
3254,402.0,4.0,835.45,0.6377410468319559
3255,323.0,2.0,588.05,0.5720664758097913
3256,394.0,2.0,672.15,0.5720664758097913
3257,118.0,4.0,499.05,0.6377410468319559
3258,394.0,2.0,672.15,0.5720664758097913
3259,402.0,4.0,835.45,0.6377410468319559
3260,242.0,1.0,427.95,0.5165109202542357
3261,309.0,1.0,496.15,0.47478348547867266
3262,170.0,2.0,415.7,0.5388555789625308
