city,Ada,Alger,Bluffton,Cairo,Caledonia,Carey,Columbus Grove,Continental,Cridersville,Delphos,Dunkirk,Elida,Forest,Fort Jennings,Glandorf,Kalida,Kenton,La Rue,Leipsic,Lima,Marion,Minster,Mount Victory,Nevada,New Bremen,New Knoxville,Ottawa,Ottoville,Pandora,Prospect,Saint Marys,Spencerville,Sycamore,Upper Sandusky,Wapakoneta,Waynesfield,Bellefontaine,West Liberty,Russells Point,De Graff,Lakeview,Belle Center,Quincy,Marysville,Plain City,Richwood,Milford Center,Findlay,Fostoria,McComb,Arlington,Rawson,Arcadia
Lakeview,25.3,20.25,39.63,32.26,80.25,66.19,38.35,55.63,25.29,45.22,34.39,35.86,36.95,47.64,47.19,44.23,25.15,41.4,51.98,31.16,51.52,30.86,26.23,69.97,28.02,24.16,45.43,49.16,40.35,55.31,28.03,33.19,68.21,59.37,18.04,9.35,13.4,21.19,2.52,13.02,0.0,13.04,16.29,37.49,51.42,39.52,39.57,55.65,71.38,56.33,43.1,45.37,63.73
Belle Center,23.97,18.93,33.3,34.66,49.86,48.94,40.75,58.02,34.52,47.63,23.91,33.78,26.46,50.04,49.59,46.63,14.66,30.93,52.87,29.07,41.05,40.16,12.94,52.72,37.33,37.46,47.83,51.56,44.54,36.99,37.26,41.11,50.95,42.12,27.27,16.8,10.64,18.43,9.49,21.79,13.04,0.0,25.05,34.74,48.68,30.51,36.82,41.87,57.62,48.73,31.35,37.84,49.96
Quincy,41.94,36.9,60.86,49.23,82.31,70.66,55.31,72.3,37.26,61.9,45.63,47.84,48.18,64.31,64.15,60.9,36.39,45.88,73.2,43.14,68.72,26.97,34.66,74.44,28.73,29.83,62.39,65.83,61.57,57.37,39.81,45.19,72.67,63.83,30.04,25.64,15.04,13.78,14.9,3.73,16.32,25.05,0.0,39.55,53.49,42.23,41.63,76.88,92.61,77.55,53.07,66.6,84.95
Marysville,55.15,50.1,64.48,65.84,44.3,72.59,71.92,89.2,62.71,78.8,41.38,64.95,43.79,81.21,80.77,77.8,32.14,27.14,84.05,60.24,30.48,63.73,22.26,56.65,60.89,61.02,79.0,82.74,75.71,19.13,65.45,70.61,70.51,60.22,55.46,46.76,25.97,27.98,35.48,36.56,37.64,34.76,39.84,0.0,15.47,15.35,6.52,59.33,87.85,69.59,48.81,60.31,67.43
Plain City,69.08,64.04,78.41,79.77,45.68,73.97,85.86,103.14,76.65,92.73,55.33,78.89,57.74,95.14,94.7,91.73,46.09,40.41,97.98,74.17,44.15,77.66,36.21,58.03,74.83,74.96,92.94,96.67,89.65,28.14,79.38,84.54,71.89,61.6,69.39,60.7,39.9,41.92,49.41,50.5,51.58,48.69,53.77,12.17,0.0,28.62,13.63,88.0,89.23,100.25,62.76,82.95,93.73
Richwood,42.23,42.38,55.87,63.72,27.58,49.34,66.97,88.8,67.97,78.35,36.68,61.6,31.93,80.77,75.81,77.4,27.44,12.0,75.44,56.89,17.83,68.98,17.56,33.39,66.15,66.28,74.05,82.29,64.06,6.48,70.71,75.86,47.26,36.97,60.71,46.91,27.46,33.24,40.74,38.96,42.9,30.51,42.23,15.26,28.61,0.0,21.33,63.37,64.59,75.62,44.12,55.61,69.1
Milford Center,57.68,52.63,67.0,68.36,50.56,78.85,74.45,91.73,65.24,81.33,47.5,67.48,49.92,83.74,83.29,80.33,38.26,33.63,86.58,62.77,36.97,66.26,28.38,62.91,63.42,63.55,81.53,85.27,78.24,25.62,67.98,73.14,76.77,66.48,57.99,49.29,28.5,21.67,38.01,39.09,40.17,37.29,42.37,6.52,13.63,21.83,0.0,65.46,94.11,75.72,54.94,71.54,73.56
Findlay,24.71,29.74,18.19,32.88,55.0,17.64,24.37,37.44,43.19,47.52,18.0,38.39,24.74,49.93,24.9,31.71,28.58,47.29,22.18,35.98,47.27,70.89,37.13,36.33,68.05,61.06,24.2,51.45,18.45,64.13,60.22,48.93,29.19,29.15,49.66,46.53,49.18,56.97,58.17,63.14,55.87,41.87,77.12,59.33,88.33,63.53,65.43,0.0,15.81,10.79,10.79,10.49,8.15
Fostoria,40.45,45.47,33.93,48.62,56.64,16.19,40.12,49.39,58.92,63.25,33.75,54.13,38.79,65.66,41.3,48.11,44.33,48.95,33.95,51.72,48.92,86.62,52.88,37.97,83.79,76.8,40.6,67.19,34.21,65.77,75.95,64.67,21.39,30.81,65.39,62.26,64.92,72.71,73.91,78.87,71.61,57.62,92.85,77.74,89.97,65.18,83.8,15.81,0.0,22.56,26.54,26.24,7.66
McComb,24.98,30.01,18.86,33.2,67.28,29.93,23.61,26.96,43.5,47.83,28.15,38.72,34.88,35.33,20.26,27.07,38.74,54.48,11.51,36.3,59.55,71.2,47.29,48.6,68.37,61.38,19.56,35.47,17.7,76.4,60.53,49.25,41.47,41.44,49.98,46.85,55.78,63.57,51.86,63.4,56.19,48.73,77.44,69.48,100.61,75.81,75.58,10.79,22.56,0.0,20.94,10.86,16.76
Arlington,18.04,23.07,12.16,28.87,55.76,22.52,32.12,44.81,40.43,43.5,7.48,37.74,14.21,45.91,32.27,42.55,18.06,33.81,31.34,36.26,48.03,68.13,26.61,37.08,65.29,58.3,39.2,47.44,19.85,64.88,57.46,49.44,35.31,26.48,46.9,37.52,38.66,46.45,44.92,49.8,43.12,31.35,53.07,48.81,63.01,44.12,54.9,10.79,26.54,21.05,0.0,11.46,18.88
Rawson,14.09,19.11,7.62,22.31,63.24,25.89,17.06,34.21,32.61,36.94,18.82,27.82,24.92,39.35,21.67,28.48,29.41,44.52,20.73,25.4,55.52,60.31,37.95,44.57,57.48,50.48,20.97,40.87,11.14,72.37,49.64,38.36,37.44,37.41,39.08,35.95,44.89,52.68,40.97,52.51,45.3,37.84,66.54,60.15,82.91,55.46,71.05,10.47,26.22,10.86,11.46,0.0,18.56
Arcadia,32.79,37.82,26.27,40.96,60.73,17.98,32.47,46.18,51.26,55.59,26.09,46.48,26.61,58.0,33.64,40.45,36.68,53.03,28.15,44.06,53.01,78.97,45.23,42.06,76.14,69.14,32.95,59.53,26.55,69.86,68.29,57.01,25.47,34.89,57.74,54.61,57.27,65.06,66.25,71.22,63.95,49.96,85.2,67.43,94.06,69.26,73.52,8.15,7.66,16.76,18.88,18.59,0.0
